sequence,scheme,repetition,duty_position,duty_percent,duty_label,voltage_v,distance_m,hardware_note,payload_derivation,payload_bits,data_symbols,parity_symbols,coded_body_bits,frame_bits,bit_seconds,started_utc,finished_utc,duration_s,gap_after_s,target_pulse_us,pulse_count,late_starts,pulse_min_us,pulse_median_us,pulse_p95_us,pulse_max_us
1,rs18_6,1,1,100,commanded 100%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:20:46.409106Z,2026-07-28T13:21:39.410653Z,53.001389,15,62500.000,0,0,nan,nan,nan,nan
2,rs18_6,1,2,50,commanded 50%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:21:54.417349Z,2026-07-28T13:22:47.418903Z,53.001104,15,31250.000,424,0,31548.278,31757.435,31777.346,31787.370
3,rs18_6,1,3,45,commanded 45%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:23:02.425321Z,2026-07-28T13:23:55.426915Z,53.001186,15,28125.000,424,0,28324.426,28756.574,28776.840,28811.833
4,rs18_6,1,4,40,commanded 40%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:24:10.433318Z,2026-07-28T13:25:03.434880Z,53.001187,15,25000.000,424,0,25325.926,25756.584,25775.782,25785.167
5,rs18_6,1,5,35,commanded 35%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:25:18.441318Z,2026-07-28T13:26:11.442888Z,53.001191,15,21875.000,424,0,22575.037,22753.222,22776.316,22786.796
6,rs18_6,1,6,30,commanded 30%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:26:26.449318Z,2026-07-28T13:27:19.450883Z,53.001189,15,18750.000,424,0,18758.963,19659.509,19757.121,19770.963
7,rs18_6,1,7,25,commanded 25%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:27:34.458318Z,2026-07-28T13:28:27.459899Z,53.001202,15,15625.000,424,0,15637.555,15758.389,15782.495,16631.833
8,rs18_6,1,8,10,commanded 10%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:28:42.466319Z,2026-07-28T13:29:35.467873Z,53.001177,15,6250.000,424,0,6576.925,6756.361,6773.655,6786.926
9,rs18_6,1,9,1,"commanded 1%, timing-limited",11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001110011010001100001001111101,7 6 17 16 19 29,25 9 20 2 23 19 0 17 10 19 23 17,001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0111111001111110001110011010001100001001111101110010100110100000101011110011000001000101010100111011110001,0.5,2026-07-28T13:29:50.485319Z,2026-07-28T13:30:43.486972Z,53.001264,15,625.000,424,212,642.185,758.018,779.237,1635.815
10,rs18_6,2,1,45,commanded 45%,11,3,parallel-colocated-level-same-polarity-pinned_person-absent_60s-settle_120s-prelaunch-off_normalization-planned_hotspot_final-detached,first 30 MSB-first bits of SHA-256 ASCII label CU-hacking-RS18-repetition-{1..5},001111110011110100101001011110,7 28 30 18 18 30,17 27 12 2 26 26 13 31 15 15 5 3,001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0111111001111110001111110011110100101001011110100011101101100000101101011010011011111101111011110010100011,0.5,2026-07-28T13:30:58.494318Z,2026-07-28T13:31:51.495884Z,53.001191,15,28125.000,424,0,28374.148,28757.824,28776.486,28804.389
